#timestamp x y z q_x q_y q_z q_w
0.000000 0.965021014 -0.053720165 -0.047069106 0.001154972 -0.007762009 0.004033221 0.999961138
0.000000 0.953913033 -0.057283051 0.025248652 0.001017184 -0.007349871 0.003865866 0.999965012
0.000000 0.953503549 -0.054537784 0.120203197 0.001230249 -0.007363541 0.002858437 0.999968112
0.000000 0.978264213 -0.039723825 0.287315071 0.001108626 -0.008227151 0.003332544 0.999960005
0.000000 0.974395573 -0.033517577 0.364164650 0.001198145 -0.008113446 0.003336112 0.999960840
0.000000 0.968570530 -0.014596641 0.479276031 0.001559718 -0.007859096 0.003344733 0.999962330
0.000000 0.960942447 -0.010138139 0.565467298 0.001526556 -0.007813727 0.003379475 0.999962628
0.000000 0.955164552 -0.005623523 0.652800083 0.001217928 -0.007679040 0.003369023 0.999964178
0.000000 0.969142377 0.015096148 0.806906402 0.001185654 -0.008318060 0.003357762 0.999959052
0.000000 0.981449425 0.037406359 0.909632504 0.001536461 -0.008868949 0.003222281 0.999954343
0.000000 1.000339985 0.035014424 1.028600574 0.001186062 -0.009210176 0.003409307 0.999951124
0.000000 0.998844266 0.043925889 1.151427746 0.001421644 -0.009066101 0.003232126 0.999952674
0.000000 0.976281464 0.054352399 1.340036392 0.001685298 -0.008498123 0.002992772 0.999957979
0.000000 0.971567869 0.067770340 1.460538268 0.001940411 -0.008330318 0.002811927 0.999959469
0.000000 0.985120833 0.080493584 1.590998054 0.001943193 -0.008794589 0.003239846 0.999954224
0.000000 0.967748106 0.108876660 1.708356261 0.002282757 -0.008446095 0.003070524 0.999957025
0.000000 0.973849773 0.109291308 1.831857800 0.001906438 -0.008616515 0.003344487 0.999955475
0.000000 0.956378222 0.124619946 2.053341866 0.001743784 -0.008318776 0.003299389 0.999958456
0.000000 0.943837821 0.152746826 2.189495325 0.002066620 -0.008124043 0.003300757 0.999959469
0.000000 0.953411460 0.151569918 2.324122190 0.001631925 -0.008417712 0.003010910 0.999958694
0.000000 0.951423109 0.160814151 2.458457470 0.001143247 -0.008407550 0.002908641 0.999959826
0.000000 0.956124723 0.176844463 2.675941467 0.000934443 -0.008651970 0.003068761 0.999957442
0.000000 0.943534911 0.203459278 2.823876143 0.001038149 -0.008259287 0.002842551 0.999961317
0.000000 0.950282931 0.220714852 2.973404169 0.001315553 -0.008517251 0.003109621 0.999958098
0.000000 0.944124103 0.226757109 3.106866598 0.001017821 -0.008380827 0.003101674 0.999959588
0.000000 0.943201005 0.245036587 3.368736267 0.000846988 -0.008611985 0.002690732 0.999958932
0.000000 0.934284389 0.265233010 3.523332834 0.001005062 -0.008474818 0.002589186 0.999960303
0.000000 0.930381358 0.273140371 3.675783396 0.000750194 -0.008389307 0.002716502 0.999960840
0.000000 0.939974785 0.300672024 3.892435312 0.000583627 -0.009042791 0.003410936 0.999953151
0.000000 0.929184020 0.319252849 4.034484386 0.000277354 -0.009046483 0.003488752 0.999953032
0.000000 0.938021243 0.324360967 4.258283615 -0.000583596 -0.009581911 0.003423110 0.999948084
0.000000 0.927803040 0.343279839 4.436820984 -0.001039758 -0.009670837 0.003764555 0.999945700
0.000000 0.924432993 0.369940400 4.639512062 -0.000969017 -0.009937828 0.004201028 0.999941349
0.000000 0.922178149 0.386258662 4.814817429 -0.000986607 -0.010264905 0.004438650 0.999936998
0.000000 0.922147155 0.426079303 4.993239880 -0.000299873 -0.010436493 0.003804194 0.999938309
0.000000 0.913880289 0.427424699 5.226308346 -0.001180333 -0.010615499 0.003500556 0.999936819
0.000000 0.899580479 0.441678554 5.402589321 -0.001482481 -0.010789339 0.003183634 0.999935627
0.000000 0.900967121 0.465228766 5.625191212 -0.001975906 -0.011558066 0.003235276 0.999926031
0.000000 0.902472496 0.488041639 5.820058346 -0.002364457 -0.012190706 0.003995432 0.999914944
0.000000 0.883695841 0.514920592 6.000585556 -0.002385039 -0.012185822 0.004077226 0.999914646
0.000000 0.891162395 0.531049013 6.263762951 -0.002850553 -0.013080506 0.003480358 0.999904335
0.000000 0.871215224 0.538208723 6.436248302 -0.003660523 -0.013136265 0.003517228 0.999900877
0.000000 0.871560752 0.572332621 6.653886318 -0.003328874 -0.014147534 0.003747774 0.999887347
0.000000 0.857918084 0.593001783 6.850398540 -0.003633142 -0.014549512 0.003822031 0.999880314
0.000000 0.862210333 0.613973141 7.106550217 -0.003847895 -0.015246115 0.004376401 0.999866784
0.000000 0.871104062 0.633028746 7.313253403 -0.004010858 -0.016100800 0.004890750 0.999850392
0.000000 0.847278535 0.654135704 7.502098560 -0.004005216 -0.016337456 0.005185456 0.999845088
0.000000 0.843014896 0.681290209 7.760172367 -0.003763974 -0.016880509 0.004545285 0.999840140
0.000000 0.837238789 0.693023086 7.962450504 -0.003727403 -0.017409887 0.004670922 0.999830663
